"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","subj_idx","friend_name","ParticipantID","value","success","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","timeout","failed_images","failed_audio","failed_video","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","version_attrib","version_target","IAT","RT","varname","summary","version_attrib2","version_target2","question_order"
"1664","
   <p><div style = ""color: white;font-size:25px;"">您好，欢迎参加本次实验。</div> </p>
   <p><div style = ""color: white;font-size:25px;"">为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您未见过上述内容，请咨询实验员。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</div></p>
   <p><div style = ""color: red;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p> <div style = ""color: green;font-size:25px;""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","1667","0.0-0.0","4","4","4","3","4","4","3","4","4","4","5","5","4","4","5","5","4","5","5","4","1","1","2","2","1","2","1","1","2","0","0","1","1","0","0","0","1","0","1","1","0","1","0","0","5","1","2","2","1","3","4","5","2","2","759096644204761089","张","364","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","1668","0.0-1.0-0.0","4","4","4","3","4","4","3","4","4","4","5","5","4","4","5","5","4","5","5","4","1","1","2","2","1","2","1","1","2","0","0","1","1","0","0","0","1","0","1","1","0","1","0","0","5","1","2","2","1","3","4","5","2","2","759096644204761089","张","364","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"105701","","{""friend_name"":""张"",""ParticipantID"":""364""}","survey-html-form","2","107371","0.0-1.0-1.0","4","4","4","3","4","4","3","4","4","4","5","5","4","4","5","5","4","5","5","4","1","1","2","2","1","2","1","1","2","0","0","1","1","0","0","0","1","0","1","1","0","1","0","0","5","1","2","2","1","3","4","5","2","2","759096644204761089","张","364","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","115744","0.0-2.0","4","4","4","3","4","4","3","4","4","4","5","5","4","4","5","5","4","5","5","4","1","1","2","2","1","2","1","1","2","0","0","1","1","0","0","0","1","0","1","1","0","1","0","0","5","1","2","2","1","3","4","5","2","2","759096644204761089","张","364","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22113.98000000918","","{""Q01"":""4"",""Q02"":""4"",""Q03"":""4"",""Q04"":""3"",""Q05"":""4"",""Q06"":""4"",""Q07"":""3"",""Q08"":""4"",""Q09"":""4"",""Q10"":""4""}","survey-template","4","137862","0.0-3.0","4","4","4","3","4","4","3","4","4","4","5","5","4","4","5","5","4","5","5","4","1","1","2","2","1","2","1","1","2","0","0","1","1","0","0","0","1","0","1","1","0","1","0","0","5","1","2","2","1","3","4","5","2","2","759096644204761089","张","364","","","","{""Q01"":""4"",""Q02"":""4"",""Q03"":""4"",""Q04"":""3"",""Q05"":""4"",""Q06"":""4"",""Q07"":""3"",""Q08"":""4"",""Q09"":""4"",""Q10"":""4""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q10"",""Q09""]","[3927.995000005467,4951.935000004596,7104.040000005625,9247.960000007879,11591.76500000467,13079.960000002757,15079.945000004955,18655.910000001313,20783.86500000488,21375.88500000129]","[]","[983.829999997397,3407.695000001695,3927.995000005467,4951.935000004596,7104.040000005625,9247.960000007879,11591.76500000467,13079.960000002757,14623.70500000543,15079.945000004955,18655.910000001313,19088.03500000795,20783.86500000488,21375.88500000129,22112.025000009453]","0.5","0.3333333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42804.1799999919","","{""Q01"":""5"",""Q02"":""5"",""Q03"":""4"",""Q04"":""4"",""Q05"":""5"",""Q06"":""5"",""Q07"":""4"",""Q08"":""5"",""Q09"":""5"",""Q10"":""4""}","survey-template","5","180678","0.0-4.0","4","4","4","3","4","4","3","4","4","4","5","5","4","4","5","5","4","5","5","4","1","1","2","2","1","2","1","1","2","0","0","1","1","0","0","0","1","0","1","1","0","1","0","0","5","1","2","2","1","3","4","5","2","2","759096644204761089","张","364","","","","{""Q01"":""5"",""Q02"":""5"",""Q03"":""4"",""Q04"":""4"",""Q05"":""5"",""Q06"":""5"",""Q07"":""4"",""Q08"":""5"",""Q09"":""5"",""Q10"":""4""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[1785.8649999980116,3385.840000002645,4929.8649999982445,6729.869999995572,9554.329999999027,11649.810000002617,13353.819999989355,16185.86499999219,18233.80499999621,20057.804999989457]","[]","[809.5899999898393,1785.8649999980116,3385.840000002645,4929.8649999982445,6729.869999995572,9554.329999999027,11649.810000002617,13353.819999989355,16185.86499999219,18233.80499999621,20057.804999989457,22809.99999999767,25841.679999997723,28969.83000000182,38161.7200000037,40193.774999992456,42802.00499999046]","0.3","0.5555555555555556","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","6","181015","0.0-5.0","4","4","4","3","4","4","3","4","4","4","5","5","4","4","5","5","4","5","5","4","1","1","2","2","1","2","1","1","2","0","0","1","1","0","0","0","1","0","1","1","0","1","0","0","5","1","2","2","1","3","4","5","2","2","759096644204761089","张","364","","true","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","",""
"10187","","","instructions","7","191203","0.0-6.0","4","4","4","3","4","4","3","4","4","4","5","5","4","4","5","5","4","5","5","4","1","1","2","2","1","2","1","1","2","0","0","1","1","0","0","0","1","0","1","1","0","1","0","0","5","1","2","2","1","3","4","5","2","2","759096644204761089","张","364","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":10186}]","","","","","","","","","","","","","","","","","","","","","","",""
"16430","","","instructions","8","207634","0.0-7.0-1.0-0.0","4","4","4","3","4","4","3","4","4","4","5","5","4","4","5","5","4","5","5","4","1","1","2","2","1","2","1","1","2","0","0","1","1","0","0","0","1","0","1","1","0","1","0","0","5","1","2","2","1","3","4","5","2","2","759096644204761089","张","364","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":13117},{""page_index"":1,""viewing_time"":1176},{""page_index"":2,""viewing_time"":2136}]","","","","","","","","","","","","","","","","","","","","","","",""
"871","","f","psychophysics","9","209513","0.0-7.0-1.0-1.0-0.0-0.0","4","4","4","3","4","4","3","4","4","4","5","5","4","4","5","5","4","5","5","4","1","1","2","2","1","2","1","1","2","0","0","1","1","0","0","0","1","0","1","1","0","1","0","0","5","1","2","2","1","3","4","5","2","2","759096644204761089","张","364","","","","match","","","","","","","","","","","","","","key","f","16.68226126126126","872.2727083667255","486.8181712666821","f","true","match","img/trapezoid.png","梯形","梯形","ALT1_2","prac_ALT1_2","","","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","10","210015","0.0-7.0-1.0-1.0-0.0-1.0","4","4","4","3","4","4","3","4","4","4","5","5","4","4","5","5","4","5","5","4","1","1","2","2","1","2","1","1","2","0","0","1","1","0","0","0","1","0","1","1","0","1","0","0","5","1","2","2","1","3","4","5","2","2","759096644204761089","张","364","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","",""
