"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","trap1","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","subj_idx","friend_name","ParticipantID","value","success","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","timeout","failed_images","failed_audio","failed_video","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","version_attrib","version_target","IAT","RT","varname","summary","version_attrib2","version_target2","question_order","correct_answer","trap1_item"
"1946","
   <p><div style = ""color: white;font-size:25px;"">您好，欢迎参加本次实验。</div> </p>
   <p><div style = ""color: white;font-size:25px;"">为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您未见过上述内容，请咨询实验员。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</div></p>
   <p><div style = ""color: pink;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p><div style = ""color: lightblue;font-size:25px;"">请您尽可能认真地作答，我们将依据您在各问卷和按键任务中的作答质量发放报酬。</div></p>
   <p> <div style = ""color: green;font-size:25px;""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","1952","0.0-0.0","3","4","4","3","3","4","3","2","4","3","4","5","5","4","4","5","4","5","4","4","1","2","2","1","2","1","2","1","2","1","1","1","1","0","0","0","0","0","1","1","0","1","0","1","4","2","1","2","1","3","1","2","2","4","1","688779620236918784","黄","601","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","1953","0.0-1.0-0.0","3","4","4","3","3","4","3","2","4","3","4","5","5","4","4","5","4","5","4","4","1","2","2","1","2","1","2","1","2","1","1","1","1","0","0","0","0","0","1","1","0","1","0","1","4","2","1","2","1","3","1","2","2","4","1","688779620236918784","黄","601","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75577","","{""friend_name"":""黄"",""ParticipantID"":""601""}","survey-html-form","2","77532","0.0-1.0-1.0","3","4","4","3","3","4","3","2","4","3","4","5","5","4","4","5","4","5","4","4","1","2","2","1","2","1","2","1","2","1","1","1","1","0","0","0","0","0","1","1","0","1","0","1","4","2","1","2","1","3","1","2","2","4","1","688779620236918784","黄","601","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","91031","0.0-2.0","3","4","4","3","3","4","3","2","4","3","4","5","5","4","4","5","4","5","4","4","1","2","2","1","2","1","2","1","2","1","1","1","1","0","0","0","0","0","1","1","0","1","0","1","4","2","1","2","1","3","1","2","2","4","1","688779620236918784","黄","601","","true","{""brands"":[{""brand"":""Edge"",""version"":""107""},{""brand"":""Chromium"",""version"":""107""},{""brand"":""Not=A?Brand"",""version"":""24""}],""mobile"":false,""platform"":""macOS""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43094.40000003576","","{""Q01"":""3"",""Q02"":""4"",""Q03"":""4"",""Q04"":""3"",""Q05"":""3"",""Q06"":""4"",""Q07"":""3"",""Q08"":""2"",""Q09"":""4"",""Q10"":""3""}","survey-template","4","134133","0.0-3.0","3","4","4","3","3","4","3","2","4","3","4","5","5","4","4","5","4","5","4","4","1","2","2","1","2","1","2","1","2","1","1","1","1","0","0","0","0","0","1","1","0","1","0","1","4","2","1","2","1","3","1","2","2","4","1","688779620236918784","黄","601","","","","{""Q01"":""3"",""Q02"":""4"",""Q03"":""4"",""Q04"":""3"",""Q05"":""3"",""Q06"":""4"",""Q07"":""3"",""Q08"":""2"",""Q09"":""4"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[6745.400000035763,8324.600000023842,9780.800000011921,10642.699999988079,13749.5,14886.699999988079,16575.100000023842,18298.900000035763,20734,22295.900000035763,23733.100000023842]","[]","[6745.400000035763,8324.600000023842,9780.800000011921,10642.699999988079,11978.400000035763,13749.5,14509.199999988079,14886.699999988079,16575.100000023842,18298.900000035763,20734,22295.900000035763,23261,23733.100000023842,43093.10000002384]","0.4","0.5555555555555556","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58658.30000001192","","{""Q01"":""4"",""Q02"":""5"",""Q03"":""5"",""Q04"":""4"",""Q05"":""4"",""Q06"":""5"",""Q07"":""4"",""Q08"":""5"",""Q09"":""4"",""Q10"":""4""}","survey-template","5","192802","0.0-4.0","3","4","4","3","3","4","3","2","4","3","4","5","5","4","4","5","4","5","4","4","1","2","2","1","2","1","2","1","2","1","1","1","1","0","0","0","0","0","1","1","0","1","0","1","4","2","1","2","1","3","1","2","2","4","1","688779620236918784","黄","601","","","","{""Q01"":""4"",""Q02"":""5"",""Q03"":""5"",""Q04"":""4"",""Q05"":""4"",""Q06"":""5"",""Q07"":""4"",""Q08"":""5"",""Q09"":""4"",""Q10"":""4""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[2788.699999988079,4910.699999988079,6353.599999964237,8005.099999964237,8950.699999988079,10564.5,18798.80000001192,26610.69999998808,33212.89999997616,35452.30000001192]","[]","[2788.699999988079,4910.699999988079,6353.599999964237,7584.599999964237,8005.099999964237,8950.699999988079,10564.5,18798.80000001192,26610.69999998808,33212.89999997616,35452.30000001192,58656.80000001192]","0.3","0.1111111111111111","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","6","193101","0.0-5.0","3","4","4","3","3","4","3","2","4","3","4","5","5","4","4","5","4","5","4","4","1","2","2","1","2","1","2","1","2","1","1","1","1","0","0","0","0","0","1","1","0","1","0","1","4","2","1","2","1","3","1","2","2","4","1","688779620236918784","黄","601","","true","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25616","","","instructions","7","218718","0.0-6.0","3","4","4","3","3","4","3","2","4","3","4","5","5","4","4","5","4","5","4","4","1","2","2","1","2","1","2","1","2","1","1","1","1","0","0","0","0","0","1","1","0","1","0","1","4","2","1","2","1","3","1","2","2","4","1","688779620236918784","黄","601","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":25615}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"12955","","","instructions","8","231675","0.0-7.0-0.0-0.0","3","4","4","3","3","4","3","2","4","3","4","5","5","4","4","5","4","5","4","4","1","2","2","1","2","1","2","1","2","1","1","1","1","0","0","0","0","0","1","1","0","1","0","1","4","2","1","2","1","3","1","2","2","4","1","688779620236918784","黄","601","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":3804},{""page_index"":1,""viewing_time"":2052},{""page_index"":0,""viewing_time"":5173},{""page_index"":1,""viewing_time"":1012},{""page_index"":2,""viewing_time"":912}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"755","","j","psychophysics","9","233437","0.0-7.0-0.0-1.0-0.0-0.0","3","4","4","3","3","4","3","2","4","3","4","5","5","4","4","5","4","5","4","4","1","2","2","1","2","1","2","1","2","1","1","1","1","0","0","0","0","0","1","1","0","1","0","1","4","2","1","2","1","3","1","2","2","4","1","688779620236918784","黄","601","","","","match","","","","","","","","","","","","","","key","j","16.81522330097081","640","356","f","false","nonmatch","img/trapezoid.png","椭圆","梯形","ALT1_1","prac_ALT1_1","","","","","","","","","","","",""
