"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","trap1","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","subj_idx","friend_name","ParticipantID","value","success","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","timeout","failed_images","failed_audio","failed_video","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","version_attrib","version_target","IAT","RT","varname","summary","version_attrib2","version_target2","question_order","correct_answer","trap1_item"
"1682","
   <p><div style = ""color: white;font-size:25px;"">您好，欢迎参加本次实验。</div> </p>
   <p><div style = ""color: white;font-size:25px;"">为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您未见过上述内容，请咨询实验员。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</div></p>
   <p><div style = ""color: pink;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p><div style = ""color: lightblue;font-size:25px;"">请您尽可能认真地作答，我们将依据您在各问卷和按键任务中的作答质量发放报酬。</div></p>
   <p> <div style = ""color: green;font-size:25px;""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","1684","0.0-0.0","3","4","3","3","4","4","3","4","3","4","4","5","4","5","5","4","4","5","5","5","2","1","2","2","1","2","2","1","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","4","1","2","2","1","1","2","1","4","5","1","633792084226080768","林","350","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","1685","0.0-1.0-0.0","3","4","3","3","4","4","3","4","3","4","4","5","4","5","5","4","4","5","5","5","2","1","2","2","1","2","2","1","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","4","1","2","2","1","1","2","1","4","5","1","633792084226080768","林","350","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39802","","{""friend_name"":""林"",""ParticipantID"":""350""}","survey-html-form","2","41491","0.0-1.0-1.0","3","4","3","3","4","4","3","4","3","4","4","5","4","5","5","4","4","5","5","5","2","1","2","2","1","2","2","1","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","4","1","2","2","1","1","2","1","4","5","1","633792084226080768","林","350","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","48528","0.0-2.0","3","4","3","3","4","4","3","4","3","4","4","5","4","5","5","4","4","5","5","5","2","1","2","2","1","2","2","1","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","4","1","2","2","1","1","2","1","4","5","1","633792084226080768","林","350","","true","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39280","","{""Q01"":""3"",""Q02"":""4"",""Q03"":""3"",""Q04"":""3"",""Q05"":""4"",""Q06"":""4"",""Q07"":""3"",""Q08"":""4"",""Q09"":""3"",""Q10"":""4""}","survey-template","4","87825","0.0-3.0","3","4","3","3","4","4","3","4","3","4","4","5","4","5","5","4","4","5","5","5","2","1","2","2","1","2","2","1","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","4","1","2","2","1","1","2","1","4","5","1","633792084226080768","林","350","","","","{""Q01"":""3"",""Q02"":""4"",""Q03"":""3"",""Q04"":""3"",""Q05"":""4"",""Q06"":""4"",""Q07"":""3"",""Q08"":""4"",""Q09"":""3"",""Q10"":""4""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[9132.600000143051,10470.400000095367,15316.5,17228.200000047684,19132.60000014305,20356.400000095367,24160.60000014305,25486.400000095367,27390.5,28254.200000047684]","[]","[8165.200000047684,9132.600000143051,10118.799999952316,10470.400000095367,12804.700000047684,15316.5,17228.200000047684,19132.60000014305,20356.400000095367,24160.60000014305,25486.400000095367,27390.5,28254.200000047684,39278.5]","0.3","0.6666666666666666","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38277.299999952316","","{""Q01"":""4"",""Q02"":""5"",""Q03"":""4"",""Q04"":""5"",""Q05"":""5"",""Q06"":""4"",""Q07"":""4"",""Q08"":""5"",""Q09"":""5"",""Q10"":""5""}","survey-template","5","126111","0.0-4.0","3","4","3","3","4","4","3","4","3","4","4","5","4","5","5","4","4","5","5","5","2","1","2","2","1","2","2","1","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","4","1","2","2","1","1","2","1","4","5","1","633792084226080768","林","350","","","","{""Q01"":""4"",""Q02"":""5"",""Q03"":""4"",""Q04"":""5"",""Q05"":""5"",""Q06"":""4"",""Q07"":""4"",""Q08"":""5"",""Q09"":""5"",""Q10"":""5""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[5005.299999952316,6483.099999904633,8332.599999904633,9565.900000095367,11797.5,13949,16704.900000095367,19729.299999952316,22491.099999904633,24043.5]","[]","[3281.4000000953674,4649.700000047684,5005.299999952316,6483.099999904633,8332.599999904633,9565.900000095367,11797.5,13503.200000047684,13949,16704.900000095367,19729.299999952316,21840.099999904633,22491.099999904633,24043.5,38275.59999990463]","0.4","0.5555555555555556","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","6","129562","0.0-5.0","3","4","3","3","4","4","3","4","3","4","4","5","4","5","5","4","4","5","5","5","2","1","2","2","1","2","2","1","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","4","1","2","2","1","1","2","1","4","5","1","633792084226080768","林","350","","true","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50527","","","instructions","7","180090","0.0-6.0","3","4","3","3","4","4","3","4","3","4","4","5","4","5","5","4","4","5","5","5","2","1","2","2","1","2","2","1","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","4","1","2","2","1","1","2","1","4","5","1","633792084226080768","林","350","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":50527}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"17588","","","instructions","8","197679","0.0-7.0-0.0-0.0","3","4","3","3","4","4","3","4","3","4","4","5","4","5","5","4","4","5","5","5","2","1","2","2","1","2","2","1","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","4","1","2","2","1","1","2","1","4","5","1","633792084226080768","林","350","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":13924},{""page_index"":1,""viewing_time"":2068},{""page_index"":2,""viewing_time"":1595}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"765","","j","psychophysics","9","199468","0.0-7.0-0.0-1.0-0.0-0.0","3","4","3","3","4","4","3","4","3","4","4","5","4","5","5","4","4","5","5","5","2","1","2","2","1","2","2","1","2","1","0","1","1","0","0","0","1","1","1","1","0","1","0","1","4","1","2","2","1","1","2","1","4","5","1","633792084226080768","林","350","","","","nonmatch","","","","","","","","","","","","","","key","j","19.214835164835037","710.7407909492769","395.92595389514173","j","true","nonmatch","img/triangle.png","五边","三角","ALT1_1","prac_ALT1_1","","","","","","","","","","","",""
