"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","trap1","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","subj_idx","friend_name","ParticipantID","value","success","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","timeout","failed_images","failed_audio","failed_video","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","version_attrib","version_target","IAT","RT","varname","summary","version_attrib2","version_target2","question_order","correct_answer","trap1_item"
"26216","
   <p><div style = ""color: white;font-size:25px;"">您好，欢迎参加本次实验。</div> </p>
   <p><div style = ""color: white;font-size:25px;"">为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您未见过上述内容，请咨询实验员。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</div></p>
   <p><div style = ""color: pink;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p><div style = ""color: lightblue;font-size:25px;"">请您尽可能认真地作答，我们将依据您在各问卷和按键任务中的作答质量发放报酬。</div></p>
   <p> <div style = ""color: green;font-size:25px;""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","26221","0.0-0.0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","4","5","4","4","4","4","4","2","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","2","4","4","5","3","2","1","2","2","3","2","772080972635312129","文","89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","26224","0.0-1.0-0.0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","4","5","4","4","4","4","4","2","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","2","4","4","5","3","2","1","2","2","3","2","772080972635312129","文","89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38328","","{""friend_name"":""文"",""ParticipantID"":""89""}","survey-html-form","2","64553","0.0-1.0-1.0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","4","5","4","4","4","4","4","2","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","2","4","4","5","3","2","1","2","2","3","2","772080972635312129","文","89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","121211","0.0-2.0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","4","5","4","4","4","4","4","2","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","2","4","4","5","3","2","1","2","2","3","2","772080972635312129","文","89","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104142.36500000698","","{""Q01"":""2"",""Q02"":""2"",""Q03"":""2"",""Q04"":""2"",""Q05"":""2"",""Q06"":""2"",""Q07"":""2"",""Q08"":""2"",""Q09"":""2"",""Q10"":""2""}","survey-template","4","225363","0.0-3.0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","4","5","4","4","4","4","4","2","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","2","4","4","5","3","2","1","2","2","3","2","772080972635312129","文","89","","","","{""Q01"":""2"",""Q02"":""2"",""Q03"":""2"",""Q04"":""2"",""Q05"":""2"",""Q06"":""2"",""Q07"":""2"",""Q08"":""2"",""Q09"":""2"",""Q10"":""2""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q04"",""Q05"",""Q06"",""Q03"",""Q02"",""Q07"",""Q08"",""Q09"",""Q10"",""Q02""]","[43269.59500000521,59213.750000009895,61422.14500000409,64613.649999999325,66678.04500000784,69357.88999999932,72237.67500001122,74478.35000000487,76645.64000000246,80437.96500000462,89438.15500001074]","[]","[41373.950000008335,43269.59500000521,59213.750000009895,61422.14500000409,64613.649999999325,66678.04500000784,69357.88999999932,72237.67500001122,74478.35000000487,76645.64000000246,80437.96500000462,89438.15500001074,104142.01999999932]","0.5","0.5555555555555556","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56584.975000005215","","{""Q01"":""2"",""Q02"":""2"",""Q03"":""2"",""Q04"":""2"",""Q05"":""2"",""Q06"":""2"",""Q07"":""1"",""Q08"":""2"",""Q09"":""2"",""Q10"":""2""}","survey-template","5","281964","0.0-4.0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","4","5","4","4","4","4","4","2","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","2","4","4","5","3","2","1","2","2","3","2","772080972635312129","文","89","","","","{""Q01"":""2"",""Q02"":""2"",""Q03"":""2"",""Q04"":""2"",""Q05"":""2"",""Q06"":""2"",""Q07"":""1"",""Q08"":""2"",""Q09"":""2"",""Q10"":""2""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[7279.3950000050245,9054.705000002286,12431.414999999106,14903.659999996307,19251.99999999313,22183.539999998175,25175.45500000415,29047.669999999925,33159.090000001015,34529.039999993984]","[]","[7279.3950000050245,9054.705000002286,12431.414999999106,14903.659999996307,19251.99999999313,21159.2149999924,22183.539999998175,25175.45500000415,29047.669999999925,31439.704999997048,33159.090000001015,34529.039999993984,56584.91999999387]","0.5","0.1111111111111111","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","6","282361","0.0-5.0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","4","5","4","4","4","4","4","2","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","2","4","4","5","3","2","1","2","2","3","2","772080972635312129","文","89","","true","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37776","","","instructions","7","320138","0.0-6.0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","4","5","4","4","4","4","4","2","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","2","4","4","5","3","2","1","2","2","3","2","772080972635312129","文","89","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":37774}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"64412","","","instructions","8","384553","0.0-7.0-1.0-0.0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","4","5","4","4","4","4","4","2","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","2","4","4","5","3","2","1","2","2","3","2","772080972635312129","文","89","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":38940},{""page_index"":1,""viewing_time"":21896},{""page_index"":2,""viewing_time"":3575}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","null","psychophysics","9","386765","0.0-7.0-1.0-1.0-0.0-0.0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","4","5","4","4","4","4","4","2","4","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","2","4","4","5","3","2","1","2","2","3","2","772080972635312129","文","89","","","","null","","","","","","","","","","","","","","key","null","16.92438281249997","684","381","j","false","match","img/diamond.png","菱形","菱形","ALT1_2","prac_ALT1_2","","","","","","","","","","","",""
