Num,UserId,Subject IDs,Subject Name,Time,Duration,Source,Source Details,IP,NodeId,Node,Env_Q1,Env_Q2_item1,Env_Q2_item2,Env_Q2_item3,Env_Q2_item4,Env_Q3,Env_Q4,Env_Q5,Env_Q6,Env_Q7,Env_Q8,Env_Q9,Env_Q10,Env_Q11,NodeId,Node,Env_Q1,Env_Q2,Env_Q3,Env_Q4,Env_Q5,
序号,用户ID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,节点id,节点名称,1、您是否参加过类似的实验？词汇评估？图形匹配？问卷调查？,2、您参与过类似的哪种实验？,2、您参与过类似的哪种实验？,2、您参与过类似的哪种实验？,2、您参与过类似的哪种实验？,3、距离您上次参加此类测试的时间间隔为：,4、您在进行实验的过程中，实验是否正常进行？,5、您在按键行为实验的全程，是否全屏进行？,6、请你描述在什么时候退出了全屏？,7、请您描述一下具体什么问题，以及发生问题的实验阶段？,8、您在进行实验的过程中，是否受到干扰？,9、请您描述一下具体受到什么干扰，以及干扰发生的时间点？,10、对此实验的建议和意见,11、您认为该实验的目的是什么？,节点id,节点名称,1、您当前是否处于一个安静的环境？,2、您当前设备的网络环境是否稳定？,3、您是否已经退出电脑上登陆的所有可能弹窗的相关软件 ？,4、您的手机是否也保持熄屏状态，或者不在视线范围内 ？,5、您是否平放电脑，并且保持身体挺直？,
1,	558332507964047360,	785842589818687490,	唐宋,	2023-12-09 13:43:53,1小时25分59秒,WEB,直接访问,36.49.78.120,	785837876234559490,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,摸不透  不清楚具体目的是什么	,	785837877081808898,测试环境-1,是,是,是,是,是,
2,	767772447134191618,	785853381183938562,	用户38143,	2023-12-09 14:32:44,1小时24分3秒,WEB,直接访问,120.4.188.186,	785837876234559490,问题反馈,是,-888,-888,类似的问卷调查,从无,B.半个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,时间有点长了，做的眼睛花	,判断人的反应速度	,	785837877081808898,测试环境-1,是,是,是,是,是,
3,	766337469301133313,	785854713118728193,	用户37883,	2023-12-09 14:33:39,1小时27分34秒,WEB,直接访问,117.150.0.14,	785837876234559490,问题反馈,是,-888,-888,类似的问卷调查,-888,C.一个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,注入刻板印象？	,	785837877081808898,测试环境-1,是,是,是,是,是,
4,	752227872634310658,	785858358430277633,	芒种,	2023-12-09 14:55:19,1小时34分45秒,WEB,直接访问,113.249.158.38,	785837876234559490,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,专注力的实验	,	785837877081808898,测试环境-1,是,是,是,是,是,
5,	763753736781959170,	785873403667161090,	用户36718,	2023-12-09 15:32:55,1小时12分35秒,WEB,直接访问,223.94.100.185,	785837876234559490,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,还是觉得单次的时间有点久，有点疲劳	,感觉跟通过训练考察学习程度有关系	,	785837877081808898,测试环境-1,是,是,是,是,是,
6,	634029991171981312,	785881894003937281,	EIEI,	2023-12-09 15:53:16,59分11秒,WEB,直接访问,183.61.241.13,	785837876234559490,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,-999,反应能力的测试	,	785837877081808898,测试环境-1,是,是,是,是,是,
7,	634030798835548160,	785900487613616130,	唐老鸭,	2023-12-09 17:37:36,1小时29分37秒,WEB,直接访问,36.134.81.212,	785837876234559490,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,实验有点长	,社交 ，个人性格	,	785837877081808898,测试环境-1,是,是,是,是,是,
8,	718833172124532736,	785948208647114753,	紫都,	2023-12-09 20:31:18,1小时13分43秒,WEB,直接访问,223.85.245.115,	785837876234559490,问题反馈,是,-888,图形匹配（图形—人称词标签）,-888,-888,F.一年内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,-999,研究人们的反应速度。	,	785837877081808898,测试环境-1,是,是,是,是,是,
9,	718763547043037184,	785952840161042433,	韩中梅,	2023-12-09 20:42:06,1小时6分7秒,WEB,直接访问,171.15.112.70,	785837876234559490,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,有一个题目上从来没填过问卷，不知道这次算不算	,我觉得实验目的是为了判断人的记忆能力，还有如果判断错误，中间休息环节能否反思自己，调整。还有对相近词语的记忆力	,	785837877081808898,测试环境-1,是,是,是,是,是,
10,	758376715339960322,	785984815198511106,	用户34296,	2023-12-09 22:44:46,1小时1分42秒,WEB,直接访问,116.148.184.133,	785837876234559490,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,在短时间内，对于瞬间闪过的被定义的图形的认知和理解、记忆，及对自我及朋友品性的认知	,	785837877081808898,测试环境-1,是,是,是,是,是,
11,	656564690050088960,	785993162375176194,	xiaohuhh,	2023-12-09 23:37:19,1小时21分5秒,WEB,直接访问,42.49.69.47,	785837876234559490,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,-999,记忆能力考察	,	785837877081808898,测试环境-1,是,是,是,是,是,
12,	767700606512271362,	785993907522768898,	鸭鸭鸭鸭,	2023-12-09 23:27:51,1小时8分39秒,WEB,直接访问,123.147.252.73,	785837876234559490,问题反馈,是,词汇评估（评估—再认）,-888,-888,-888,D.三个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,考察人们的注意力和快速识别能力	,	785837877081808898,测试环境-1,是,是,是,是,是,
13,	578883788969345024,	786206035332440066,	哈烟雨,	2023-12-10 13:40:52,1小时18分46秒,WEB,直接访问,183.210.201.253,	785837876234559490,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,-999,无	,	785837877081808898,测试环境-1,是,是,是,是,是,
14,	598900137913221120,	786229870748377090,	哈哈嗯,	2023-12-10 14:55:37,58分48秒,WEB,直接访问,36.140.88.39,	785837876234559490,问题反馈,是,-888,-888,类似的问卷调查,-888,C.一个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,不知道	,	785837877081808898,测试环境-1,是,是,是,是,是,
15,	767401496999628801,	786231332773699585,	用户38054,	2023-12-10 15:08:02,59分29秒,WEB,直接访问,223.92.11.71,	785837876234559490,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,反应能力的考察	,	785837877081808898,测试环境-1,是,是,是,是,是,
16,	772063807198728193,	786247651468386306,	吱呀,	2023-12-10 16:47:51,1小时40分22秒,WEB,直接访问,110.72.183.237,	785837876234559490,问题反馈,是,-888,-888,类似的问卷调查,-888,B.半个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,考验记忆能力和反应能力。	,	785837877081808898,测试环境-1,是,是,是,是,是,
17,	776002406046765058,	786252145472184321,	用户39727,	2023-12-10 17:01:09,1小时35分49秒,WEB,直接访问,59.173.137.8,	785837876234559490,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,压力及多件事情合一起的反应速度	,	785837877081808898,测试环境-1,是,是,是,是,是,
18,	598925018256113664,	786255830394740738,	真嘟嘟嘟,	2023-12-10 16:38:31,58分33秒,WEB,直接访问,36.98.188.218,	785837876234559490,问题反馈,是,-888,-888,类似的问卷调查,-888,D.三个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,没有	,性格测试吧	,	785837877081808898,测试环境-1,是,是,是,是,是,
19,	715186425389121536,	786346406284763138,	彩虹小马,	2023-12-10 23:07:54,1小时28分,WEB,直接访问,183.165.83.19,	785837876234559490,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,不知道	,	785837877081808898,测试环境-1,是,是,是,是,是,
20,	759096644204761089,	786363064680325121,	山泉满天星,	2023-12-10 23:50:04,1小时3分58秒,WEB,直接访问,119.39.248.7,	785837876234559490,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,-999,对记忆能力测试，并且要求很高	,	785837877081808898,测试环境-1,是,是,是,是,是,
21,	758958446577192962,	786663687808356353,	用户34656,	2023-12-11 19:59:58,1小时19分18秒,WEB,直接访问,59.41.5.91,	785837876234559490,问题反馈,是,-888,图形匹配（图形—人称词标签）,-888,-888,B.半个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,检测观察力和反应速度	,	785837877081808898,测试环境-1,是,是,是,是,是,
22,	730025585505734658,	786947261228912641,	用户29645,	2023-12-12 14:41:10,1小时13分42秒,WEB,直接访问,183.224.72.75,	785837876234559490,问题反馈,是,-888,-888,-888,从无,-999,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,做得有些犯困了	,不知道，自我认知和对他人认知吗？	,	785837877081808898,测试环境-1,是,是,是,是,是,
23,	781830643909922818,	786976555380510721,	用户40547,	2023-12-12 16:34:44,1小时10分51秒,WEB,直接访问,182.118.238.161,	785837876234559490,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,-999,训练和记忆力的增进相关性研究	,	785837877081808898,测试环境-1,是,是,是,是,是,
